ID,y
1,82.606285
2,97.19537
3,83.20859
4,77.146034
5,112.78367
8,91.458275
10,100.118904
11,94.072334
12,117.27149
14,95.96778
15,115.95908
16,105.35652
17,101.25196
19,91.12645
20,100.499794
21,104.63417
22,118.933464
23,101.25196
26,95.65156
28,95.79037
29,101.25196
33,101.25196
35,94.14939
41,101.191216
42,94.70172
43,113.75884
45,102.240105
46,100.67834
51,94.55543
53,85.60793
55,109.19
56,104.79581
57,110.07305
58,98.84415
59,104.64848
63,105.26105
64,94.266846
65,100.71432
69,97.13996
71,99.06795
72,104.59681
73,96.24268
76,105.271645
77,96.94051
78,116.50178
82,94.374664
83,100.71432
84,100.54916
85,106.879776
87,110.39975
88,101.191216
89,110.21756
91,97.594986
93,102.448845
94,105.570244
95,100.32681
96,110.96555
97,94.86654
98,109.681465
99,99.13636
101,105.8469
103,110.21756
104,93.504616
105,110.1214
110,97.26847
111,102.48207
113,105.19296
114,96.95707
115,111.39181
117,110.21756
120,95.850845
121,113.08472
122,93.716965
123,106.1249
126,108.12582
132,109.35455
135,110.35843
137,102.31886
138,95.10241
140,103.989105
142,108.74899
144,110.62093
148,91.92453
149,113.68476
155,103.22973
156,111.74347
157,94.86654
162,113.365685
163,95.918365
167,94.82484
172,113.75884
179,106.87238
180,94.012146
181,107.98973
182,97.19836
183,110.21756
185,110.21756
187,107.073715
188,92.90259
189,94.96636
191,94.11752
192,103.47217
193,93.84063
194,107.73307
195,94.67527
196,99.3316
198,109.01665
199,111.00244
201,100.21507
204,95.18318
205,106.057175
206,107.3443
210,96.99856
211,105.8469
216,111.56211
219,117.27149
220,92.75873
221,109.62256
226,107.98973
227,92.68341
228,110.028824
230,109.82532
231,94.86654
235,118.933464
236,98.39987
238,111.71706
242,104.57387
243,94.102264
244,80.16026
245,110.95122
247,117.15483
248,94.72609
249,91.16925
250,113.42051
251,98.39987
253,118.933464
254,95.377556
256,95.422966
257,91.95579
258,108.84182
259,98.05058
262,91.79039
266,101.800934
267,113.28502
272,103.95093
273,110.21756
275,94.15995
276,109.06958
279,93.16062
280,100.71432
283,92.80643
285,109.768814
288,110.21756
289,108.434166
290,100.72469
291,95.27829
292,105.78434
293,105.48399
296,93.78309
297,105.71268
298,116.54066
299,93.90012
304,91.40136
305,86.735466
306,95.238464
307,108.91249
311,104.13973
313,109.00205
314,92.67145
316,109.13943
324,111.52879
327,98.50951
329,92.387054
330,109.61254
337,97.831604
338,95.07541
339,100.15097
340,93.23366
343,93.596214
345,115.95908
346,96.58974
347,112.6081
349,110.22674
350,94.21614
352,103.42187
353,92.77018
354,91.16134
357,95.89134
358,107.554276
362,108.02861
364,104.218506
365,101.5399
366,102.09723
367,106.66773
368,93.98035
370,81.330666
373,99.07609
377,93.99492
378,107.581
382,105.271645
384,110.17845
390,98.148186
392,111.83283
393,111.99497
395,94.16772
396,96.7401
